品类,种类,类别编码,编号,品名,规格,单位,数量,进价,合计,零售价,合计,差价,毛利率
"  ","  ","  ","  ","  ","  ","  ","  ",小计,45.41,"  ",133.50,88.09,65.99%
酒水饮品,风味奶,1217,214,旺仔牛奶,245ml,5,1,0.00,0.00,5.00,5.00,5.00,100%
"  ","  ","  ",226,维他豆奶(原味),250ml,盒,5,0.00,0.00,2.50,12.50,12.50,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",17.50,17.50,100.00%
酒水饮品,牛奶,1223,228,蒙牛优益C,340ml,瓶,4,4.30,17.20,5.50,22.00,4.80,0.22%
"  ","  ","  ",1456,伊利益消原味,450g,瓶,1,6.00,6.00,8.50,8.50,2.50,0.29%
"  ","  ","  ",238,蒙牛特仑苏纯牛奶,250ml,盒,1,4.11,4.11,5.50,5.50,1.39,0.25%
"  ","  ","  ",1358,伊利优酸乳,250ml,盒,4,0.00,0.00,2.00,8.00,8.00,100%
"  ","  ","  ",229,卡士活菌奶原味,200ml,盒,1,5.40,5.40,7.50,7.50,2.10,0.28%
"  ","  ","  ",706,维他奶黑豆奶,250ml,盒,2,0.00,0.00,2.50,5.00,5.00,100%
"  ","  ","  ",225,维他奶(巧克力味),250ml,盒,1,0.00,0.00,2.50,2.50,2.50,100%
"  ","  ","  ",218,蒙牛草莓真果粒牛奶 ,250g,盒,4,2.49,9.96,3.50,14.00,4.04,0.29%
"  ","  ","  ",699,伊利纯牛奶,250ml,盒,2,0.00,0.00,3.00,6.00,6.00,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,42.67,"  ",79.00,36.33,45.99%
酒水饮品,甄选酒水,1225,500402,RIO锐澳青柠味朗姆鸡尾酒,275ml,瓶,1,0.00,0.00,13.50,13.50,13.50,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",13.50,13.50,100.00%
粮油干货,调味品,1311,324,良美 生粉,168g,袋,2,0.00,0.00,4.50,9.00,9.00,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",9.00,9.00,100.00%
粮油干货,面食,1312,500806,腿肉蛋三文治,90g,袋,2,4.05,8.10,6.50,13.00,4.90,0.38%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,8.10,"  ",13.00,4.90,37.69%
粮油干货,大米,1314,531,孟乍隆牌香米,5kg,袋,1,0.00,0.00,80.00,80.00,80.00,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",80.00,80.00,100.00%
粮油干货,进口牛肉,1317,500894,澳洲安格斯牛仔骨,300g,份,2,0.00,0.00,58.00,116.00,116.00,100%
"  ","  ","  ","  ","  ","  ","  ","  ",小计,0.00,"  ",116.00,116.00,100.00%
生活用品,清洁,1412,953,立白洗洁精,1.18kg,瓶,1,0.00,0.00,15.50,15.50,15.50,100%
"  ","  ","  ",565,雕牌增白洗衣皂 ,188g,块,1,0.00,0.00,4.50,4.50,4.50,100%
